create_char_title	Create a New Character
directory.cache	\\Mabinogi\\Cache
directory.playdata	\\Mabinogi\\Play Data
directory.screenshot	\\Mabinogi\\Screenshot
directory.supplement	\\Mabinogi\\File
etc.intro_nexon	Nexon Co., Ltd
etc.intro_text1	Erinn seems…
etc.intro_text2	to be blessed.
etc.intro_text3	When looking beautiful dark sky
etc.intro_text4	I feel
etc.intro_text5	we are loved so
etc.intro_text6	A feeling of blessed world like
etc.intro_text7	The fertility of ground, and
etc.intro_text8	an affection of wood,
etc.intro_text9	all of these are
etc.intro_text10	overwhelmed in our heart
etc.intro_text11	Recite your story
etc.intro_text12	around a warm bornfire.
etc.logout_commercial_webpage	http://mabi.pro/lastguide/
hackshield.1	Auto Mouse has been detected on your computer. (Type {0})
hackshield.2	Macro has been detected on your computer.
hackshield.3	Hooking for data protection API has been detected.
hackshield.4	\n\nFunction Name: {0}\nModule Name: {1}\n
hackshield.5	Hackshield driver is not loading.
hackshield.6	Message Hooking has been detected, and was unable to block it.
hackshield.7	Debug track has been detected.
hackshield.8	Debug track has been altered.
hackshield.9	A game hacking tool has been detected.
hackshield.10	Illegal memory access has been detected.\n{0}
hackshield.11	The module for Hackshield has been compromised.
hackshield.12	The functions for Hackshield engine is currently abnormal.
hackshield.13	Invalid code detected.
hackshield.14	Memory modification of the Hackshield Module has been detected. Address: {0}
hackshield.15	{0} file has been altered. Please re-install Mabinogi.
hackshield.16	Warning
hackshield.17	Incorrect data has been sent to the Hackshild Module.
hackshield.18	Hackshield Module has yet to be initialized.
hackshield.19	The current process has been loaded in a compatible mode.
hackshield.20	The license key for Hackshield is incorrect.
hackshield.21	A Hackshield file has been corrupted. Please re-install Mabinogi.
hackshield.22	Hackshield is currently running through another program.
hackshield.23	Hackshield has detected a debugger currently running. Please shut down the debugger and restart the game.
hackshield.24	The code for the executing file is modified.
hackshield.25	Only the Administrator may run this.
hackshield.26	Unable to start the Auto-Detect engine for Hackshield.
hackshield.27	Unable to create the driver file for Hackshield.
hackshield.28	Unable to register the driver for Hackshield.
hackshield.29	Unable to start the driver for Hackshield.
hackshield.30	Unable to start the search thread for Hackshield.
hackshield.31	Hackshield Module needs to be updated.
hackshield.32	An error has occurred with Hackshield.
hackshield.33	\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.34	Warning
hackshield.35	Unable to read HSUpdate.env.
hackshield.36	Unable to use HSUpdate.env.
hackshield.37	Unable to connect to the update server for Hackshield.
hackshield.38	Unable to find a file for a Hackshield update.
hackshield.39	Run-time error occurred while updating.
hackshield.40	An error has occurred while updating Hackshield.
hackshield.41	\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.42	Warning
hackshield.43	Incorrect data has been sent during authorization.
hackshield.44	Illegal memory access has been detected during authorization.
hackshield.45	Not enough memory.
hackshield.46	An error has occurred with the authorization message.
hackshield.47	A debugger has been detected during authorization.
hackshield.48	An error has occurred with either the routing of the Hackshield Module or the Module itself.
hackshield.49	An error has occurred during authorization.\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.50	Warning
hackshield.51	An error has occurred during authorization.\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.52	Warning
hackshield.53	Incorrect data has been sent to the Hackshild Module.
hackshield.54	Hackshield Module has yet to be initialized.
hackshield.55	The current process has been loaded in a compatible mode.
hackshield.56	The license key for Hackshield is incorrect.
hackshield.57	A Hackshield file has been corrupted. Please re-install Mabinogi.
hackshield.58	Hackshield is currently running through another program.
hackshield.59	Hackshield has detected a debugger currently running. Please shut down the debugger and restart the game.
hackshield.60	The code for the executing file is modified.
hackshield.61	Only the Administrator may run this.
hackshield.62	Unable to start the Auto-Detect Hax engine for Hackshield.
hackshield.63	Unable to create the driver file for Hackshield.
hackshield.64	Unable to register the driver for Hackshield.
hackshield.65	Unable to start the driver for Hackshield.
hackshield.66	Unable to start the search thread for Hackshield.
hackshield.67	Hackshield Module needs to be updated.
hackshield.68	An error has occurred with Hackshield.
hackshield.69	\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.70	Warning
hackshield.71	Unable to read HSUpdate.env.
hackshield.72	Unable to use HSUpdate.env.
hackshield.73	Unable to connect to the update server for Hackshield.
hackshield.74	Unable to find a file for a Hackshield update.
hackshield.75	Runtime error occurred while updating.
hackshield.76	An error has occurred while updating Hackshield.
hackshield.77	\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.78	Warning
hackshield.79	Incorrect data has been sent during authorization.
hackshield.80	Illegal memory access has been detected during authorization.
hackshield.81	Not enough memory.
hackshield.82	An error has occurred with the authorization message.
hackshield.83	A debugger has been detected during authorization.
hackshield.84	An error has occurred with either the routing of the Hackshield Module or the Module itself.
hackshield.85	An error has occurred during authorization.\nPlease take a screenshot and report this to Customer Service.\nError number: {0}
hackshield.86	Warning
hackshield.87	We sincerely apologize for this inconvenience, but\n\nan error has been detected with the Hackshield.\n\nError : {0}\nError Code : {1}\n\nThe error code of this error has been saved onto your clipboard.\nPlease search for this code at our website (ctrl+v)\nand find solution to this.\n\nIf no solution was posted on the website, please submit a ticket to Cutomer Support.\n\n\nClick on [OK] to move to the Mabinogi website.\nThe client will be shut down.\n\n
hackshield.88	Hackshield Error
hackshield.89	The system's time functions have been affected by a Speed Hack.
hackshield.90	Unable to start the Hackshield Module.\nPlease re-install the game client.
hsmoduleinit.1	An error has occurred during authorization.
hsmoduleinit.2	Hackshield is currently active and running.
hsmoduleinit.3	A .dll file has been altered.
hsmoduleinit.4	Unable to find HSUpdate.env.
hsmoduleinit.5	Failed to initialize update module for Hackshield.
hsmoduleinit.6	Update address for Hackshield has been forced to switch due to a hosts file.
hsmoduleinit.7	An error has occurred while updating Hackshield. (Error Code : {0})
hsmoduleinit.8	{0} file has been altered.
hsmoduleinit.9	An error has occurred with the update settings file of Hackshield.
maintitle.c1	Mabinogi C1
maintitle.c2	Mabinogi C2
maintitle.closebeta	Mabinogi Closed Beta Test
maintitle.default	Mabinogi
maintitle.eg	Mabinogi EG
maintitle.g1	Mabinogi G1
maintitle.g2	Mabinogi G2
maintitle.g3	Mabinogi G3
maintitle.g4	Mabinogi G4
maintitle.openbeta	Mabinogi Open Beta Test
messages.1	Mabinogi G5
